    "COUNTRY_CD","YEARWEEK","TOTAL_SALES"
AM,201843,571.3
AM,201844,295.57
AM,201845,295.57
AM,201846,295.57
AM,201847,295.57
AM,201848,295.57
AM,201849,615.38
AM,201850,615.38
AM,201851,615.38
AM,201852,615.38
AM,201901,573.6899999999998
AM,201902,573.6899999999998
AM,201903,573.6899999999998
AM,201904,573.6899999999998
AM,201905,469.35
AM,201906,469.35
AM,201907,469.35
AM,201908,469.35
AM,201909,469.35
AM,201910,423.43
AM,201911,423.43
AM,201912,423.43
AM,201913,423.42999999999995
AM,201914,731.0400000000001
AM,201915,731.04
AM,201916,731.0400000000001
AM,201917,731.04
AM,201918,806.3299999999999
AM,201919,806.3299999999998
AM,201920,806.3299999999999
AM,201921,806.3299999999998
AM,201922,806.3299999999998
AM,201923,1503.95
AM,201924,1503.95
AM,201925,1503.95
AM,201926,1503.9499999999998
AM,201927,844.7200000000001
AM,201928,844.7199999999999
AM,201929,844.7200000000001
AM,201930,844.7199999999999
AM,201931,569.5999999999999
AM,201932,569.5999999999999
AM,201933,569.5999999999999
AM,201934,569.5999999999999
AM,201935,569.5999999999999
AM,201936,729.6
AM,201937,729.6
AM,201938,729.6
AM,201939,729.6
AM,201940,440.33
AM,201941,440.33
AM,201942,440.33
AM,201943,440.33
AM,201944,267.94000000000005
AM,201945,267.93999999999994
AM,201946,267.94000000000005
AM,201947,267.93999999999994
AM,201948,267.93999999999994
AM,202018,8.81
AM,202019,8.81
AM,202020,8.81
AM,202021,8.81
AM,202022,8.81
AM,202023,13.190000000000001
AM,202024,13.190000000000001
AM,202025,13.190000000000001
AM,202026,13.190000000000001
AM,202027,37.04
AM,202028,37.04
AM,202029,37.04
AM,202030,37.04
AM,202031,65.33
AM,202032,65.33
AM,202033,65.33
AM,202034,65.33
AM,202035,65.33
AM,202036,47.470000000000006
AM,202037,47.470000000000006
AM,202038,47.470000000000006
AM,202039,47.470000000000006
AM,202040,49.5
AM,202041,49.5
AM,202042,49.5
AM,202043,49.5
AM,202044,126.54
AM,202045,126.54
AM,202046,126.54
AM,202047,126.54
AM,202048,126.54
AM,202049,148.34
AM,202050,148.34
AM,202051,148.34
AM,202052,148.34
AM,202101,102.16
AM,202102,102.16
AM,202103,102.16
AM,202104,102.16
AM,202105,131.67999999999998
