"PTNR_REGIONAL_MASTER_CD","COUNTRY_CD","YEARWEEK","TOTAL_SALES"
0,AU,202127,135756.01999999981
0,AU,202128,110176.82000000014
0,AU,202129,131234.98000000036
0,AU,202130,191861.7200000003
0,AU,202131,89475.16999999987
0,AU,202132,122274.27000000034
0,AU,202133,97912.46999999981
0,AU,202134,251458.0100000003
0,AU,202135,75374.22999999957
0,AU,202136,90863.14999999969
0,AU,202137,192958.92000000182
0,AU,202138,201708.29000000298
0,AU,202139,265147.84000000294
0,AU,202140,335685.4600000087
0,AU,202141,421922.86000000976
0,AU,202142,287350.60000001214
0,AU,202143,762998.9100000187
0,AU,202144,661457.0800000192
0,AU,202145,485336.130000012
0,AU,202146,517640.0600000182
0,AU,202147,561311.520000013
0,AU,202148,551296.6200000138
0,AU,202149,444586.2700000011
0,AU,202150,339162.3200000059
0,AU,202151,322637.1200000061
0,AU,202152,224284.03000000288
0,AU,202201,164418.70000000251
0,AU,202202,154630.17000000176
0,AU,202203,163917.61000000103
0,AU,202204,162192.8200000018
0,AU,202205,208873.37000000305
0,AU,202206,204119.01000000263
0,AU,202207,244678.9800000023
0,AU,202208,250940.09000000078
0,AU,202209,228370.0400000007
0,AU,202210,187733.29000000068
0,AU,202211,179656.3100000009
0,AU,202212,169822.91000000187
0,AU,202213,135614.13000000129
0,AU,202214,200477.27000000127
0,AU,202215,159678.70000000056
0,AU,202216,144402.6800000006
0,AU,202217,157091.32000000094
0,AU,202218,148260.70000000097
0,AU,202219,342590.7
0,AU,202220,313086.080000001
0,AU,202221,224908.16000000015
0,AU,202222,205450.8999999998
0,AU,202223,191995.1199999999
0,AU,202224,157747.87999999966
0,AU,202225,147395.86999999988
0,AU,202226,117648.10999999996
0,AU,202227,99610.52000000025
0,AU,202228,139549.86999999985
0,AU,202229,168941.12999999957
0,AU,202230,194020.61000000144
0,AU,202231,253097.53000000064
0,AU,202232,192085.68999999965
0,AU,202233,296421.06000000035
0,AU,202234,234198.14000000068
0,AU,202235,224867.90000000197
0,AU,202236,270783.8799999996
0,AU,202237,302175.61999999295
0,AU,202238,227453.74999999878
0,AU,202239,367538.0799999987
0,AU,202240,366618.8700000003
0,AU,202241,436368.4999999965
0,AU,202242,325217.60999999935
0,AU,202243,739994.9899999901
0,AU,202244,650392.0199999824
0,AU,202245,441565.399999995
0,AU,202246,469129.6099999966
0,AU,202247,691367.6899999868
0,AU,202248,582162.8399999931
0,AU,202249,340093.35999999556
0,AU,202250,249151.26999999987
0,AU,202251,215657.62000000052
0,AU,202252,146415.52000000168
0,AU,202301,126407.27000000067
0,AU,202302,130156.7600000009
0,AU,202303,152392.11000000103
0,BE,202246,
0,BE,202247,
0,BE,202248,
0,BE,202249,
0,BE,202250,
0,BE,202251,
0,BE,202252,
0,BE,202301,
0,BE,202302,
0,BE,202303,
0,BH,202036,180515.62999999913
0,BH,202037,170366.46999999968
0,BH,202038,129247.31999999868
0,BH,202039,284219.98999999353
0,BH,202040,194299.51999999772
0,BH,202041,253707.69999999326
0,BH,202042,141700.4199999979
0,BH,202043,447947.12000000116
0,BH,202044,286246.11999999464
0,BH,202045,177257.54999999792
0,BH,202046,188499.4100000007
0,BH,202047,233886.44000000143
0,BH,202048,336984.0000000002
0,BH,202049,422107.52999999956
0,BH,202050,292939.5899999953
0,BH,202051,232804.0199999987
0,BH,202052,475644.99999998586
0,BH,202101,305743.53000000067
0,BH,202102,136314.7000000036
0,BH,202103,95332.85000000369
0,BH,202104,157157.5300000027
0,BH,202105,155144.12000000424
0,BH,202106,120078.87000000468
0,BH,202107,153271.1300000083
0,BH,202108,427741.10999999073
0,BH,202109,424193.8499999895
0,BH,202110,254583.97999999695
0,BH,202111,79790.56000000107
0,BH,202112,120348.61000000342
0,BH,202113,168684.66999999955
0,BH,202114,169820.77000000098
0,BH,202115,154513.13999999798
0,BH,202116,104446.34000000064
0,BH,202117,119107.0900000011
0,BH,202118,137322.0799999998
