regional_master,date_field,sales
50000558,2021-08-15,119.91999999999996
50000558,2021-08-22,119.91999999999996
50000558,2021-08-29,119.91999999999996
50000558,2021-09-05,119.91999999999996
50000558,2021-09-12,916.0
50000558,2021-09-19,916.0
50000558,2021-09-26,916.0
50000558,2021-10-03,916.0
50000558,2021-10-10,1020.25
50000558,2021-10-17,1020.25
50000558,2021-10-24,1020.25
50000558,2021-10-31,1020.25
50000558,2021-11-07,1846.2
50000558,2021-11-14,1846.2000000000007
50000558,2021-11-21,1846.2
50000558,2021-11-28,1846.2
50000558,2021-12-05,1846.2000000000007
50000558,2021-12-12,7849.0
50000558,2021-12-19,7849.0
50000558,2021-12-26,7849.0
50000558,2022-01-02,7849.0
50000558,2022-01-09,3412.75
50000558,2022-01-16,3412.75
50000558,2022-01-23,3412.75
50000558,2022-01-30,3412.75
50000558,2022-02-06,1426.2000000000005
50000558,2022-02-13,1426.2000000000005
50000558,2022-02-20,1426.2000000000005
50000558,2022-02-27,1426.2000000000007
50000558,2022-03-06,1426.2000000000007
50000558,2022-03-13,2185.25
50000558,2022-03-20,2185.25
50000558,2022-03-27,2185.25
50000558,2022-04-03,2185.25
50000558,2022-04-10,3667.0
50000558,2022-04-17,3667.0
50000558,2022-04-24,3667.0
50000558,2022-05-01,3667.0
50000558,2022-05-08,4028.400000000001
50000558,2022-05-15,4028.400000000001
50000558,2022-05-22,4028.400000000001
50000558,2022-05-29,4028.400000000001
50000558,2022-06-05,4028.400000000001
50000558,2022-06-12,8457.25
50000558,2022-06-19,8457.25
50000558,2022-06-26,8457.25
50000558,2022-07-03,8457.25
50000558,2022-07-10,3292.0
50000558,2022-07-17,3292.0
50000558,2022-07-24,3292.0
50000558,2022-07-31,3292.0
50000558,2022-08-07,2362.2
50000558,2022-08-14,2362.2
50000558,2022-08-21,2362.2
50000558,2022-08-28,2362.2
50000558,2022-09-04,2362.2
50000558,2022-09-11,1845.25
50000558,2022-09-18,1845.25
50000558,2022-09-25,1845.25
50000558,2022-10-02,1845.25
50000558,2022-10-09,955.75
50000558,2022-10-16,955.75
50000558,2022-10-23,955.75
50000558,2022-10-30,955.75
50000558,2022-11-06,1900.2
50000558,2022-11-13,1900.2
50000558,2022-11-20,1900.2
50000558,2022-11-27,1900.1999999999991
50000558,2022-12-04,1900.1999999999991
50000558,2022-12-11,1170.0
50000558,2022-12-18,1170.0
50000558,2022-12-25,1170.0
50000558,2023-01-01,1170.0
50000558,2023-01-08,536.5
50000558,2023-01-15,536.5
50000558,2023-01-22,536.5
50000558,2023-01-29,536.5
50000558,2023-02-05,374.6
50000558,2023-02-12,374.6
50000558,2023-02-19,374.6
50000558,2023-02-26,374.6
50000558,2023-03-05,374.6
50000558,2023-03-12,527.25
50000558,2023-03-19,527.25
50000558,2023-03-26,527.25
50000558,2023-04-02,527.25
50000558,2023-04-09,386.0
50000558,2023-04-16,386.0
50000558,2023-04-23,386.0
50000558,2023-04-30,386.0
50000558,2023-05-07,674.5999999999998
50000558,2023-05-14,674.5999999999998
50000558,2023-05-21,674.6
50000558,2023-05-28,674.6
50000558,2023-06-04,674.5999999999998
50000558,2023-06-11,447.5
50000558,2023-06-18,447.5
50000558,2023-06-25,447.5
50000558,2023-07-02,447.5
50000558,2023-07-09,95.25
50000558,2023-07-16,95.25
50000558,2023-07-23,95.25
50000558,2023-07-30,95.25
50000558,2023-08-06,99.8
50000558,2023-08-13,99.8
50000558,2023-08-20,99.8
50000558,2023-08-27,99.8
50000558,2023-09-03,99.8
50000558,2023-09-10,172.25
50000558,2023-09-17,172.25
50000558,2023-09-24,172.25
50000558,2023-10-01,172.25
50000558,2023-10-08,2726.5
50000558,2023-10-15,2726.5
50000558,2023-10-22,2726.5
50000558,2023-10-29,2726.5
50000558,2023-11-05,3643.400000000001
50000558,2023-11-12,3643.400000000001
50000558,2023-11-19,3643.400000000001
50000558,2023-11-26,3643.400000000001
50000558,2023-12-03,3643.400000000001
50000558,2023-12-10,2252.4
50000558,2023-12-17,2252.4
50000558,2023-12-24,2252.4
50000558,2023-12-31,2252.4
50000575,2018-05-27,151.0
50000575,2018-06-03,6313.570000000034
50000575,2018-06-10,6262.63
50000575,2018-06-17,9564.54
50000575,2018-06-24,11872.62
50000575,2018-07-01,10553.580000000002
50000575,2018-07-08,9227.88
50000575,2018-07-15,10299.17
50000575,2018-07-22,13179.95
50000575,2018-07-29,12084.01
